balcony,built_in_kitchen,cellar,count_choices_grocery,count_choices_shopping,courtage,distance_adult_education_m,distance_alex_min,distance_bus_m,distance_grundschule_m,distance_kita_m,distance_kudamm_min,distance_medical_km,distance_oberschule_m,distance_ostkreuz_min,distance_park_m,distance_post_secondary_m,distance_postdamerplatz_min,distance_to_grocery_m,distance_to_shopping_m,distance_transit_m,distance_university_m,food_drink_activity_best,food_drink_activity_better,food_drink_activity_ok,food_drink_count_locations,food_drink_total_activity,garden,is_vacant,lift,living_space,number_rooms,private_seller,rating_score_grocery,rating_score_shopping,total_activity_parks,weighted_average_rating_parks,lat,lng,price
1,0,1,1,3,1,1270.98,12,642.58,359.68,407.74,32,0.83,970.86,17,1202.5005413398692,1077.28,24,549.81,783.97,122.69,792.46,10.15,69.59,19.4,262,43849.0,0,1,1,84.61,2.0,0,951.2,2709.4,5231,4.012387688778436,52.507690000000004,13.42407,452664.0
1,0,1,1,3,1,1270.98,12,642.58,359.68,407.74,32,0.83,970.86,17,1202.5005413398692,1077.28,24,549.81,783.97,122.69,792.46,10.15,69.59,19.4,262,43849.0,0,1,1,107.38,2.0,0,951.2,2709.4,5231,4.012387688778436,52.507690000000004,13.42407,585221.0
1,0,1,1,3,1,1270.16,12,643.2,358.83,406.63,32,0.83,971.97,17,1202.1009007328316,1078.18,24,549.53,784.4,123.5,793.24,10.07,69.05,20.03,263,44193.0,0,1,1,71.9,2.0,0,951.2,2709.4,5231,4.012387688778436,52.50768000000001,13.42407,359500.0
0,0,1,2,3,0,1549.3,5,110.01,714.01,160.02,37,0.3,961.94,16,1292.4639732618032,1012.58,25,495.36,624.27,110.01,1386.95,3.41,57.97,37.59,256,88211.0,0,0,1,45.83,2.0,0,588.0,63063.0,16237,4.402549732093367,52.52508,13.41836,199500.0
0,0,1,2,3,0,1549.3,5,110.01,714.01,160.02,37,0.3,961.94,16,1292.4639732618032,1012.58,25,495.36,624.27,110.01,1386.95,3.41,57.97,37.59,256,88211.0,0,0,1,70.28,4.0,0,588.0,63063.0,16237,4.402549732093367,52.52508,13.41836,309500.0
1,0,1,2,3,0,1811.98,7,287.19,554.31,330.55,28,0.61,431.34,14,1136.2200089536202,220.12,18,122.37,291.05,153.3,523.39,4.32,53.43,40.67,220,74527.0,0,1,1,53.5,2.0,0,162.0,63063.0,11162,4.405796452248701,52.51741,13.41611,439500.0
0,0,1,1,3,0,1555.63,8,194.11,548.46,331.16,27,0.78,480.33,13,1056.2511578670305,456.08,19,488.76,880.4,269.41,234.22,18.6,56.22,24.66,121,22158.0,0,1,1,126.2,4.0,0,7.6,63063.0,7866,4.439880498347318,52.51245,13.419189999999999,894000.0
1,0,1,1,3,0,1555.63,8,194.11,548.46,331.16,27,0.78,480.33,13,1056.2511578670305,456.08,19,488.76,880.4,269.41,234.22,18.6,56.22,24.66,121,22158.0,0,1,1,126.73,4.0,0,7.6,63063.0,7866,4.439880498347318,52.51245,13.419189999999999,1205000.0
1,1,1,3,3,1,496.46,5,107.64,421.32,247.81,24,0.17,116.04,18,1080.8472035475513,496.46,23,118.69,1097.08,72.31,1231.18,5.58,70.62,22.51,510,146971.0,0,1,0,95.58,3.0,0,133.0,11104.8,51188,4.2904469797608815,52.530480000000004,13.40235,760000.0
1,0,1,3,3,0,676.62,10,268.7,409.58,173.54,31,0.26,735.85,19,1115.7416891403223,994.03,23,211.42,1589.92,268.7,845.17,8.49,70.18,21.18,230,37013.0,0,1,1,138.9,2.0,0,951.2,9215.0,7797,4.132307297678595,52.5052,13.41381,1389000.0
