,Unit Coef %,P>|t|
balcony,41.2696,0.0
built_in_kitchen,-8.5246,0.0
cellar,3.0764,0.096
count_choices_grocery,5.001,0.0
count_choices_shopping,14.9584,0.0
courtage,14.4422,0.0
distance_adult_education_m,0.0016,0.072
distance_alex_min,0.3205,0.004
distance_bus_m,0.0048,0.038
distance_grundschule_m,0.0031,0.294
distance_kita_m,0.05,0.0
distance_kudamm_min,-0.5883,0.0
distance_medical_km,-0.2996,0.925
distance_oberschule_m,-0.0082,0.0
distance_ostkreuz_min,-0.1,0.411
distance_park_m,0.03,0.0
distance_post_secondary_m,0.0022,0.017
distance_postdamerplatz_min,0.6018,0.0
distance_to_grocery_m,0.01,0.0
distance_to_shopping_m,0.0094,0.0
distance_transit_m,0.07,0.0
distance_university_m,-0.0048,0.0
food_drink_activity_best,6.5773,0.0
food_drink_activity_better,7.2723,0.0
food_drink_activity_ok,6.9189,0.0
food_drink_count_locations,0.02,0.338
food_drink_total_activity,0.0009,0.0
garden,11.6055,0.0
is_vacant,53.9411,0.0
lift,23.9738,0.0
living_space,0.0008,0.002
number_rooms,1.9589,0.0
private_seller,-1.6168,0.741
rating_score_grocery,0.0011,0.133
rating_score_shopping,-0.0,0.009
total_activity_parks,-0.0004,0.0
weighted_average_rating_parks,140.8731,0.0
