lat,lng
52.419345,13.16421
52.41867,13.16429
52.419555,13.164206
52.419555,13.164206
52.427209,13.162047
52.419269,13.164427
52.42861,13.16058
52.42029,13.16892
52.42194,13.178111
52.431397,13.219342
52.431017,13.218494
52.433518,13.202605
52.423944,13.204965
52.423164,13.205475
52.431724,13.219168
52.432022,13.210659
52.431724,13.219168
52.43024,13.22064
52.437665,13.245692
52.42281,13.2532
52.42281,13.2532
52.42281,13.2532
52.422937,13.254006
52.42281,13.2532
52.437745,13.262813
52.431562,13.259306
52.4444,13.240522
52.444047,13.238491
52.443208,13.240204
52.444327,13.240767
52.461533,13.160346
52.462447,13.158854
52.462447,13.158854
52.462447,13.158854
52.462432,13.158849
52.502703,13.18041
52.50278,13.18003
52.562683,13.156045
52.562524,13.157629
52.562524,13.157629
52.562524,13.157629
52.562524,13.157629
52.559616,13.15667
52.562524,13.157629
52.52216,13.1662
52.569368,13.192091
52.567823,13.191729
52.567823,13.191729
52.625266,13.295417
52.62489,13.29528
52.632799,13.503284
52.629908,13.510374
52.631713,13.50848
52.629734,13.508404
52.63556,13.503437
52.63311,13.509051
52.631892,13.50518
52.631357,13.510381
52.631429,13.510855
52.631198,13.510249
52.630911,13.508892
52.630907,13.51065
52.63002,13.508433
52.629672,13.508953
52.627616,13.507917
52.626862,13.507567
52.63556,13.503437
52.633035,13.503677
52.631439,13.5091
52.631186,13.510181
52.631126,13.510592
52.631126,13.510592
52.631483,13.512291
52.630734,13.509283
52.630375,13.509413
52.630759,13.503694
52.630216,13.508458
52.630048,13.508549
52.630024,13.509956
52.629067,13.507439
52.629047,13.507424
52.628842,13.506612
52.617813,13.310353
52.624721,13.294911
52.549619,13.206977
52.55012,13.20782
52.55012,13.20782
52.55012,13.20782
52.533298,13.197572
52.521118,13.19703
52.5898,13.30937
52.5898,13.30937
52.5898,13.30937
52.589846,13.307839
52.5898,13.30937
52.5898,13.30937
52.589454,13.310321
52.589491,13.337938
52.60485,13.35642
52.60485,13.35642
52.583925,13.288428
52.508915,13.251721
52.509,13.25143
52.516384,13.262849
52.449629,13.268725
52.449255,13.268791
52.449594,13.266745
52.432452,13.326525
52.42427,13.32435
52.426421,13.333065
52.423951,13.350523
52.424129,13.348543
52.424366,13.349771
52.43377,13.35347
52.43377,13.35347
52.45314,13.38517
52.44465,13.37849
52.450274,13.369198
52.446603,13.408332
52.378056,13.645377
52.405793,13.570106
52.406552,13.567673
52.406552,13.567673
52.406552,13.567673
52.406552,13.567673
52.405648,13.57033
52.406552,13.567673
52.406552,13.567673
52.405851,13.569213
52.440271,13.595748
52.44069,13.59411
52.44026,13.60219
52.440129,13.597677
52.431293,13.53855
52.431771,13.537506
52.429755,13.534292
52.4292,13.46993
52.4348,13.45692
52.43604,13.45618
52.43654,13.456436
52.439014,13.458476
52.437829,13.457712
52.43914,13.45843
52.438946,13.459717
52.437887,13.457732
52.439681,13.458949
52.439681,13.458948
52.43968,13.458949
52.439679,13.458945
52.43914,13.45843
52.436684,13.461365
52.438727,13.458312
52.437839,13.459656
52.437882,13.46223
52.452779,13.509763
52.519447,13.567852
52.519496,13.568047
52.519497,13.568046
52.519497,13.568046
52.519497,13.568046
52.519495,13.568042
52.513907,13.568942
52.519256,13.564752
52.518893,13.567649
52.520021,13.568018
52.519451,13.568164
52.518733,13.56827
52.51779,13.568971
52.514038,13.565088
52.514386,13.567581
52.521017,13.570971
52.506457,13.593869
52.507497,13.592176
52.507075,13.594212
52.507418,13.592186
52.507418,13.592186
52.537567,13.543122
52.543836,13.548555
52.54239,13.562534
52.5294,13.59221
52.507869,13.609303
52.533228,13.602021
52.53715,13.60341
52.536507,13.603488
52.545115,13.594432
52.53772,13.602226
52.548985,13.592255
52.53772,13.602227
52.555463,13.561219
52.454697,13.444712
52.468865,13.432456
52.514048,13.495231
52.51405,13.49518
52.50401,13.51182
52.51513,13.49819
52.513275,13.494885
52.514048,13.495231
52.514048,13.495231
52.514048,13.495231
52.51405,13.49518
52.51405,13.49518
52.51417,13.494293
52.50401,13.51182
52.504036,13.51222
52.51513,13.487672
52.515067,13.48669
52.510115,13.504449
52.515116,13.490902
52.52653,13.50331
52.526498,13.502782
52.52822,13.50858
52.52822,13.50858
52.52822,13.50858
52.52822,13.50858
52.52816,13.508609
52.528642,13.507251
52.52822,13.50858
52.52822,13.50858
52.52822,13.50858
52.52822,13.50858
52.52822,13.50858
52.526492,13.494285
52.485549,13.432492
52.485549,13.432416
52.492363,13.451251
52.494171,13.40869
52.494326,13.408914
52.492959,13.41013
52.494272,13.408742
52.494272,13.408742
52.494326,13.408914
52.489036,13.410015
52.491834,13.412884
52.494678,13.438342
52.493909,13.459973
52.5404,13.48705
52.517027,13.460718
52.522711,13.440938
52.523794,13.439952
52.525462,13.437267
52.525462,13.437267
52.525229,13.439026
52.52548,13.439065
52.52548,13.439065
52.525462,13.437166
52.526941,13.43759
52.525311,13.439016
52.526381,13.438778
52.581331,13.4207
52.568611,13.458938
52.55145,13.46664
52.555148,13.451558
52.555136,13.451597
52.55589,13.46749
52.551951,13.466352
52.55145,13.46664
52.55145,13.46664
52.55145,13.46664
52.57014,13.40491
52.569703,13.406194
52.571025,13.414327
52.560416,13.447411
52.56032,13.447511
52.559619,13.386638
52.557174,13.376855
52.55304,13.38022
52.53929,13.388577
52.553951,13.424049
52.545897,13.444777
52.54618,13.445375
52.546516,13.443385
