location,time,value
Mitte,2007_Q1,1813.26
Mitte,2007_Q2,1812.76
Mitte,2007_Q3,1815.54
Mitte,2007_Q4,1820.09
Mitte,2008_Q1,1823.05
Mitte,2008_Q2,1835.9
Mitte,2008_Q3,1851.06
Mitte,2008_Q4,1866.17
Mitte,2009_Q1,1878.49
Mitte,2009_Q2,1901.3
Mitte,2009_Q3,1927.73
Mitte,2009_Q4,1954.91
Mitte,2010_Q1,1978.28
Mitte,2010_Q2,2009.93
Mitte,2010_Q3,2041.84
Mitte,2010_Q4,2072.02
Mitte,2011_Q1,2098.41
Mitte,2011_Q2,2137.0
Mitte,2011_Q3,2181.4
Mitte,2011_Q4,2229.29
Mitte,2012_Q1,2275.96
Mitte,2012_Q2,2335.24
Mitte,2012_Q3,2397.37
Mitte,2012_Q4,2458.78
Mitte,2013_Q1,2515.35
Mitte,2013_Q2,2584.51
Mitte,2013_Q3,2657.1
Mitte,2013_Q4,2729.06
Mitte,2014_Q1,2793.94
Mitte,2014_Q2,2868.83
Mitte,2014_Q3,2942.72
Mitte,2014_Q4,3013.0
Mitte,2015_Q1,3076.95
Mitte,2015_Q2,3158.56
Mitte,2015_Q3,3249.21
Mitte,2015_Q4,3346.13
Mitte,2016_Q1,3442.89
Mitte,2016_Q2,3561.0
Mitte,2016_Q3,3686.35
Mitte,2016_Q4,3813.88
Mitte,2017_Q1,3937.34
Mitte,2017_Q2,4084.1
Mitte,2017_Q3,4240.01
Mitte,2017_Q4,4398.33
Mitte,2018_Q1,4548.05
Mitte,2018_Q2,4716.08
Mitte,2018_Q3,4883.63
Charlottenburg,2007_Q1,1482.06
Charlottenburg,2007_Q2,1481.8
Charlottenburg,2007_Q3,1484.23
Charlottenburg,2007_Q4,1488.11
Charlottenburg,2008_Q1,1490.69
Charlottenburg,2008_Q2,1501.35
Charlottenburg,2008_Q3,1513.91
Charlottenburg,2008_Q4,1526.43
Charlottenburg,2009_Q1,1536.67
Charlottenburg,2009_Q2,1555.49
Charlottenburg,2009_Q3,1577.28
Charlottenburg,2009_Q4,1599.69
Charlottenburg,2010_Q1,1618.99
Charlottenburg,2010_Q2,1645.06
Charlottenburg,2010_Q3,1671.35
Charlottenburg,2010_Q4,1696.24
Charlottenburg,2011_Q1,1718.02
Charlottenburg,2011_Q2,1749.8
Charlottenburg,2011_Q3,1786.35
Charlottenburg,2011_Q4,1825.75
Charlottenburg,2012_Q1,1864.17
Charlottenburg,2012_Q2,1912.93
Charlottenburg,2012_Q3,1964.03
Charlottenburg,2012_Q4,2014.56
Charlottenburg,2013_Q1,2061.13
Charlottenburg,2013_Q2,2118.02
Charlottenburg,2013_Q3,2177.74
Charlottenburg,2013_Q4,2236.95
Charlottenburg,2014_Q1,2290.37
Charlottenburg,2014_Q2,2352.02
Charlottenburg,2014_Q3,2412.85
Charlottenburg,2014_Q4,2470.73
Charlottenburg,2015_Q1,2523.44
Charlottenburg,2015_Q2,2590.64
Charlottenburg,2015_Q3,2665.27
Charlottenburg,2015_Q4,2745.07
Charlottenburg,2016_Q1,2824.74
Charlottenburg,2016_Q2,2921.96
Charlottenburg,2016_Q3,3025.13
Charlottenburg,2016_Q4,3130.11
Charlottenburg,2017_Q1,3231.78
Charlottenburg,2017_Q2,3352.6
Charlottenburg,2017_Q3,3480.95
Charlottenburg,2017_Q4,3611.31
Charlottenburg,2018_Q1,3734.63
Charlottenburg,2018_Q2,3873.02
Charlottenburg,2018_Q3,4011.04
Kreuzberg,2007_Q1,1364.28
Kreuzberg,2007_Q2,1369.49
Kreuzberg,2007_Q3,1377.21
Kreuzberg,2007_Q4,1386.31
Kreuzberg,2008_Q1,1394.25
Kreuzberg,2008_Q2,1409.83
Kreuzberg,2008_Q3,1427.3
Kreuzberg,2008_Q4,1444.83
Kreuzberg,2009_Q1,1460.33
