Variable,Mean,STD,Min,Median,Max,Unit Coef %
intercept,11.953,1.828,6.406,11.965,17.153,15528129.539
balcony,0.140,0.041,0.053,0.130,0.316,15.0274
built_in_kitchen,-0.047,0.033,-0.120,-0.048,0.054,-4.5913
cellar,0.009,0.023,-0.059,0.012,0.072,0.9041
count_choices_grocery,0.028,0.029,-0.038,0.033,0.078,2.8396
count_choices_shopping,-0.049,0.090,-0.503,-0.058,0.428,-4.7819
courtage,-0.026,0.038,-0.109,-0.028,0.101,-2.5665
distance_adult_education_m,0.000,0.000,-0.000,0.000,0.000,0.0
distance_alex_min,-0.003,0.006,-0.013,-0.006,0.014,-0.2996
distance_bus_m,-0.000,0.000,-0.000,-0.000,0.000,0.0
distance_grundschule_m,0.000,0.000,-0.000,0.000,0.000,0.0
distance_kita_m,0.000,0.000,-0.000,0.000,0.001,0.0
distance_kudamm_min,-0.006,0.009,-0.029,-0.004,0.011,-0.5982
distance_medical_km,0.035,0.136,-0.376,0.069,0.454,3.562
distance_oberschule_m,0.000,0.000,-0.000,0.000,0.000,0.0
distance_ostkreuz_min,0.004,0.007,-0.011,0.003,0.021,0.4008
distance_park_m,-0.000,0.000,-0.000,-0.000,0.000,0.0
distance_post_secondary_m,-0.000,0.000,-0.000,-0.000,0.000,0.0
distance_postdamerplatz_min,-0.003,0.008,-0.023,0.000,0.010,-0.2996
distance_to_grocery_m,0.000,0.000,-0.000,0.000,0.000,0.0
distance_to_shopping_m,0.000,0.000,-0.000,0.000,0.000,0.0
distance_transit_m,0.000,0.000,-0.000,0.000,0.001,0.0
distance_university_m,-0.000,0.000,-0.000,-0.000,0.000,0.0
food_drink_activity_best,0.002,0.016,-0.048,0.002,0.042,0.2002
food_drink_activity_better,0.007,0.015,-0.035,0.005,0.052,0.7025
food_drink_activity_ok,0.005,0.016,-0.038,0.004,0.051,0.5013
food_drink_count_locations,0.000,0.001,-0.002,0.000,0.003,0.0
food_drink_total_activity,0.000,0.000,-0.000,0.000,0.000,0.0
garden,0.012,0.040,-0.084,0.013,0.108,1.2072
is_vacant,0.341,0.059,0.240,0.331,0.449,40.6353
lift,0.135,0.032,0.083,0.127,0.292,14.4537
living_space,0.005,0.005,0.000,0.008,0.012,0.5013
number_rooms,0.127,0.135,-0.067,0.009,0.328,13.5417
private_seller,-0.066,0.065,-0.178,-0.078,0.028,-6.3869
rating_score_grocery,0.000,0.000,-0.000,0.000,0.000,0.0
rating_score_shopping,0.000,0.000,-0.000,-0.000,0.000,0.0
total_activity_parks,0.000,0.000,-0.000,0.000,0.000,0.0
weighted_average_rating_parks,-0.189,0.156,-0.734,-0.195,0.299,-17.2213
